Date,Device Model,Active Users
2023-01-01,vivo 1820,6745
2023-01-01,CPH2269,6695
2023-01-01,vivo 1904,6680
2023-01-01,CPH1909,4635
2023-01-01,CPH2083,4632
2023-01-01,V2120,4093
2023-01-01,CPH2185,3915
2023-01-01,RMX1941,3616
2023-01-01,M2006C3MG,3591
2023-01-01,CPH1923,3580
2023-01-01,V2026,3542
2023-01-01,M2006C3LG,3492
2023-01-01,vivo 2007,3480
2023-01-01,RMX3231,3341
2023-01-01,CPH2239,3180
2023-01-01,CPH1803,3118
2023-01-01,SM-A107F,2993
2023-01-01,V2039,2840
2023-01-01,SM-G532G,2817
2023-01-01,CPH2127,2494
2023-01-01,SM-A035F,2416
2023-01-01,V2111,2343
2023-01-01,A37f,2334
2023-01-01,M2003J15SC,2306
2023-01-01,Infinix X688B,2221
2023-01-01,SM-A037F,2141
2023-01-01,V2043,2127
2023-01-01,V2027,2109
2023-01-01,CPH2015,1956
2023-01-01,RMX2185,1916
2023-01-01,vivo 1902,1834
2023-01-01,vivo 2019,1826
2023-01-01,RMX2180,1758
2023-01-01,Infinix X657B,1714
2023-01-01,Redmi 6A,1614
2023-01-01,vivo 1901,1592
2023-01-01,vivo 1929,1592
2023-01-01,CPH1931,1579
2023-01-01,RMX2030,1561
2023-01-01,M2004J19C,1538
2023-01-01,Infinix X657C,1530
2023-01-01,SM-A032F,1502
2023-01-01,CPH2179,1491
2023-01-01,SM-A022F,1489
2023-01-01,SM-A105G,1483
2023-01-01,Redmi Note 8,1465
2023-01-01,vivo 1814,1359
2023-01-01,M2010J19CG,1325
2023-01-01,CPH1937,1323
2023-01-01,SM-G610F,1319
2023-01-01,CPH2387,1294
2023-01-01,SM-A115F,1288
2023-01-01,V2029,1277
2023-01-01,SM-A025F,1270
2023-01-01,SM-A125F,1270
2023-01-01,SM-A135F,1259
2023-01-01,SM-A127F,1235
2023-01-01,vivo 1938,1195
2023-01-01,M2101K7BNY,1194
2023-01-01,vivo 1606,1157
2023-01-01,vivo 1807,1156
2023-01-01,V2149,1145
2023-01-01,Infinix X680B,1136
2023-01-01,Redmi 5A,1109
2023-01-01,SM-A015F,1067
2023-01-01,CPH1933,1061
2023-01-01,CPH1901,1013
2023-01-01,Redmi 8,1007
2023-01-01,CPH2059,987
2023-01-01,CPH1823,973
2023-01-01,SM-A207F,973
2023-01-01,RMX3261,969
2023-01-01,V2118,957
2023-01-01,RMX2195,953
2023-01-01,M2010J19SG,950
2023-01-01,SM-J111F,942
2023-01-01,SM-J250F,939
2023-01-01,Redmi 4A,936
2023-01-01,SM-A325F,931
2023-01-01,CPH1801,915
2023-01-01,vivo 1724,912
2023-01-01,SM-A217F,876
2023-01-01,vivo 1816,867
2023-01-01,CPH2071,861
2023-01-01,V2110,856
2023-01-01,RMX3263,844
2023-01-01,RMX1971,840
2023-01-01,SM-A205F,839
2023-01-01,Redmi Note 7,838
2023-01-01,Redmi Note 4,828
2023-01-01,A1601,820
2023-01-01,Redmi Note 9 Pro,819
2023-01-01,Redmi Note 5,804
2023-01-01,SM-A013G,791
2023-01-01,RMX2020,779
2023-01-01,RMX2189,774
2023-01-01,RMX3201,772
2023-01-01,Redmi 4X,764
2023-01-01,RMX1821,760
2023-01-01,CPH2209,754
2023-01-01,vivo 1819,748
2023-01-01,CPH1911,746
2023-01-01,RMX3191,738
2023-01-01,21061119AG,737
2023-01-01,Infinix X6812B,737
2023-01-01,RMX3501,734
2023-01-01,Redmi Note 8 Pro,720
2023-01-01,Redmi Note 5A,697
2023-01-01,CPH1729,695
2023-01-01,RMX1911,694
2023-01-01,2201117TY,693
2023-01-01,V2204,693
2023-01-01,RMX2101,688
2023-01-01,CPH1819,687
2023-01-01,V2207,681
2023-01-01,SM-M127F,667
2023-01-01,vivo 1935,663
2023-01-01,RMX3063,662
2023-01-01,V2038,658
2023-01-01,vivo 1817,656
2023-01-01,vivo 1811,652
2023-01-01,M2101K6G,647
2023-01-01,RMX3511,643
2023-01-01,Redmi 5 Plus,642
2023-01-01,Infinix X680,620
2023-01-01,220333QAG,617
2023-01-01,CPH1701,615
2023-01-01,Redmi 8A Pro,613
2023-01-01,SM-A505F,610
2023-01-01,M2007J20CG,608
2023-01-01,SM-J415F,608
2023-01-01,V2109,588
2023-01-01,SM-A515F,582
2023-01-01,vivo 1727,575
2023-01-01,Infinix X6511E,572
2023-01-01,Infinix X6511B,553
2023-01-01,RMX2103,543
2023-01-01,vivo 1915,542
2023-01-01,M2102J20SG,539
2023-01-01,SM-J610F,538
2023-01-01,CPH1723,536
2023-01-01,OPPO F1s,536
2023-01-01,ASUS_X00TD,527
2023-01-01,SM-A225F,527
2023-01-01,CPH1853,516
2023-01-01,Redmi 6,501
2023-01-01,CPH2325,486
2023-01-01,SM-J400F,485
2023-01-01,itel L6502,481
2023-01-01,vivo 1802,481
2023-01-01,CPH2219,476
2023-01-01,220233L2G,475
2023-01-01,Mi A1,469
2023-01-01,Infinix X653C,464
2023-01-01,CPH2159,463
2023-01-01,M2103K19G,462
2023-01-01,CPH2365,458
2023-01-01,21121119SG,447
2023-01-01,SM-J730G,437
2023-01-01,RMX3581,433
2023-01-01,SM-A260G,433
2023-01-01,Infinix X689B,431
2023-01-01,vivo 1918,424
2023-01-01,Redmi S2,419
2023-01-01,SM-A315G,416
2023-01-01,CPH2375,411
2023-01-01,CPH2477,411
2023-01-01,Infinix X6816,405
2023-01-01,SM-M205G,403
2023-01-01,vivo 1808,400
2023-01-01,Infinix X689,394
2023-01-01,CPH1969,390
2023-01-01,CPH2113,385
2023-01-01,SM-A507FN,382
2023-01-01,2201117PG,375
2023-01-01,Infinix X650C,375
2023-01-01,RMX1811,372
2023-01-01,SM-A307GN,369
2023-01-01,M2101K7AG,364
2023-01-01,M2103K19PG,361
2023-01-01,SM-A525F,361
2023-01-01,SM-A305F,359
2023-01-01,CPH2235,356
2023-01-01,Infinix X662,354
2023-01-01,CPH2217,352
2023-01-01,Redmi 5,352
2023-01-01,vivo 1920,343
2023-01-01,CPH2333,342
2023-01-01,V2030,342
2023-01-01,CPH1717,340
2023-01-01,RMX3195,340
2023-01-01,SM-J320G,340
2023-01-01,Infinix X682B,337
2023-01-01,SM-J260G,337
2023-01-01,vivo 1907,336
2023-01-01,SM-A235F,335
2023-01-01,SM-A750GN,332
2023-01-01,Infinix X6512,330
2023-01-01,vivo 1919,329
2023-01-01,Infinix X665B,327
2023-01-01,RMX3085,324
2023-01-01,CPH1605,322
2023-01-01,SM-J500G,318
2023-01-01,Infinix X682C,310
2023-01-01,RMX1851,308
2023-01-01,CPH1609,306
2023-01-01,Redmi 7,302
2023-01-01,SM-J330G,301
2023-01-01,RMX3268,299
2023-01-01,SM-A528B,295
2023-01-01,RMX3151,289
2023-01-01,vivo 1612,289
2023-01-01,V2131,288
2023-01-01,Redmi 7A,284
2023-01-01,RMX2001,282
2023-01-01,vivo 1906,282
2023-01-01,CPH2421,280
2023-01-01,CPH2349,278
2023-01-01,vivo 1812,278
2023-01-01,Infinix X692,276
2023-01-01,SM-J510FN,276
2023-01-01,SM-J530Y,276
2023-01-01,vivo 1806,271
2023-01-01,SM-A715F,269
2023-01-01,RMX3235,267
2023-01-01,RMX3171,261
2023-01-01,vivo 1718,258
2023-01-01,V2205,257
2023-01-01,SM-M115F,252
2023-01-01,V2116,251
2023-01-01,SM-A042F,250
2023-01-01,vivo 1601,245
2023-01-01,RMX2151,239
2023-01-01,SM-A226B,238
2023-01-01,V2022,238
2023-01-01,SM-G570Y,232
2023-01-01,CPH1989,228
2023-01-01,RMX2193,221
2023-01-01,CPH2471,220
2023-01-01,A37fw,219
2023-01-01,SM-J105F,218
2023-01-01,CPH2473,217
2023-01-01,SM-A045F,217
2023-01-01,SM-A336E,215
2023-01-01,Redmi 3S,212
2023-01-01,vivo 1804,211
2023-01-01,SM-J700F,208
2023-01-01,CPH2137,207
2023-01-01,CPH2139,205
2023-01-01,SM-A047F,200
2023-01-01,Infinix X6511,197
2023-01-01,V2058,197
2023-01-01,RMX1805,191
2023-01-01,vivo 1714,191
2023-01-01,SM-A705F,190
2023-01-01,SM-J701F,190
2023-01-01,vivo 1610,190
2023-01-01,A33w,189
2023-01-01,V2108,189
2023-01-01,itel A571L,189
2023-01-01,vivo 1716,188
2023-01-01,SM-A600G,187
2023-01-01,V2157,187
2023-01-01,SM-M105G,185
2023-01-01,dandelion,184
2023-01-01,SM-J600G,179
2023-01-01,Infinix X6823C,177
2023-01-01,Redmi 8A,176
2023-01-01,SM-M315F,176
2023-01-01,CPH1725,175
2023-01-01,Infinix X688C,174
2023-01-01,Infinix X655C,173
2023-01-01,RMX3430,172
2023-01-01,SM-A605G,172
2023-01-01,SM-A725F,166
2023-01-01,SM-A536E,165
2023-01-01,Mi A2 Lite,164
2023-01-01,SM-M215F,164
2023-01-01,Redmi Note 6 Pro,162
2023-01-01,2201116TG,161
2023-01-01,2201116SG,160
2023-01-01,6501,160
2023-01-01,RMX3624,159
2023-01-01,SM-C710F,158
2023-01-01,V2025,156
2023-01-01,vivo 1719,155
2023-01-01,CPH1825,154
2023-01-01,V2146,153
2023-01-01,M2012K11AG,152
2023-01-01,RMX2061,152
2023-01-01,CPH2043,151
2023-01-01,vivo 1818,148
2023-01-01,CPH1821,147
2023-01-01,CPH2461,147
2023-01-01,Infinix X695C,146
2023-01-01,ASUS_X00RD,145
2023-01-01,Infinix X6817,145
2023-01-01,Infinix X693,145
2023-01-01,vivo 1910,144
2023-01-01,220733SG,143
2023-01-01,SM-J710F,143
2023-01-01,SM-J200G,141
2023-01-01,vivo 1609,138
2023-01-01,Redmi Note 3,137
2023-01-01,SM-T295,136
2023-01-01,Infinix X663B,135
2023-01-01,CPH2061,133
2023-01-01,SM-G935F,131
2023-01-01,V2050,131
2023-01-01,OPPO A57,129
2023-01-01,21061110AG,124
2023-01-01,RMX3516,123
2023-01-01,ASUS_X01BDA,122
2023-01-01,Infinix X670,122
2023-01-01,SM-A520F,121
2023-01-01,SM-M022F,121
2023-01-01,itel L6005,121
2023-01-01,POCOPHONE F1,120
2023-01-01,RMX1921,120
2023-01-01,SM-G531H,119
2023-01-01,SM-J810Y,118
2023-01-01,vivo Y21,118
2023-01-01,SM-M225FV,117
2023-01-01,TECNO KE5,116
2023-01-01,V2040,116
2023-01-01,V2166,113
2023-01-01,SM-J120G,112
2023-01-01,CPH2363,109
2023-01-01,V2217,109
2023-01-01,A1603,108
2023-01-01,SM-N950F,107
2023-01-01,MI 8 Lite,104
2023-01-01,V2214,100
2023-01-01,CPH1859,99
2023-01-01,Infinix X690B,99
2023-01-01,Infinix X697,99
2023-01-01,CPH1727,98
2023-01-01,OPPO A37m,98
2023-01-01,RMX3241,98
2023-01-01,Redmi Note 5A Prime,98
2023-01-01,SM-N960F,98
2023-01-01,6201,97
2023-01-01,vivo 1603,97
2023-01-01,SM-A530F,96
2023-01-01,SM-G965F,95
2023-01-01,X9009,95
2023-01-01,Infinix X656,94
2023-01-01,SM-M325FV,93
2023-01-01,Redmi Go,92
2023-01-01,Redmi 3,91
2023-01-01,Redmi 6 Pro,90
2023-01-01,SM-G530H,88
2023-01-01,ASUS_X01AD,87
2023-01-01,RMX3521,85
2023-01-01,SM-A730F,84
2023-01-01,SM-N975F,84
2023-01-01,M6,82
2023-01-01,RMX1801,81
2023-01-01,RMX3472,81
2023-01-01,V2031,81
2023-01-01,CPH2343,80
2023-01-01,F1f,80
2023-01-01,Redmi Note 4X,80
2023-01-01,SM-G955F,80
2023-01-01,5505,79
2023-01-01,M2101K9AG,79
2023-01-01,RMX3491,79
2023-01-01,V2201,79
2023-01-01,RMX3081,78
2023-01-01,SM-G975F,77
